index,molecule_chembl_id,canonical_smiles,standard_value
179,CHEMBL265502,Cc1ccc(C(=O)Nc2ccc(S(=O)(=O)O)c3cc(S(=O)(=O)O)cc(S(=O)(=O)O)c23)cc1NC(=O)c1cccc(NC(=O)Nc2cccc(C(=O)Nc3cc(C(=O)Nc4ccc(S(=O)(=O)O)c5cc(S(=O)(=O)O)cc(S(=O)(=O)O)c45)ccc3C)c2)c1,210.0
180,CHEMBL52597,CCCN(CCC)c1c([N+](=O)[O-])cc(S(=O)(=O)Nc2cccc(C)c2)cc1[N+](=O)[O-],1900.0
181,CHEMBL298397,CCCN(CCC)c1c([N+](=O)[O-])cc(S(=O)(=O)N(C)c2ccccc2)cc1[N+](=O)[O-],1000.0
182,CHEMBL295960,CCCN(CCC)c1c([N+](=O)[O-])cc(S(N)(=O)=O)cc1[N+](=O)[O-],12000.0
183,CHEMBL51746,CCCN(CCC)c1c([N+](=O)[O-])cc(S(=O)(=O)Nc2ccc(Cl)c(Cl)c2)cc1[N+](=O)[O-],7900.0
184,CHEMBL53033,CCCN(CCC)c1c([N+](=O)[O-])cc(S(=O)(=O)Nc2cccc(Cl)c2)cc1[N+](=O)[O-],2100.0
185,CHEMBL54012,CCCCCNS(=O)(=O)c1cc([N+](=O)[O-])c(N(CCC)CCC)c([N+](=O)[O-])c1,17000.0
186,CHEMBL298557,CCCN(CCC)c1c([N+](=O)[O-])cc(S(=O)(=O)Nc2ccc(Cl)cc2)cc1[N+](=O)[O-],13000.0
187,CHEMBL299079,CCCN(CCC)c1c([N+](=O)[O-])cc(S(=O)(=O)N(CC)CC)cc1[N+](=O)[O-],8300.0
188,CHEMBL3349894,COc1cc2cc(c1Cl)N(C)C(=O)C[C@H](OC(=O)C(C)C)[C@]1(C)O[C@@H]1[C@H](C)[C@@H]1C[C@@](O)(NC(=O)O1)[C@H](OC)/C=C/C=C(\C)C2,0.0
189,CHEMBL299414,CCCCNS(=O)(=O)c1cc([N+](=O)[O-])c(N(CCC)CCC)c([N+](=O)[O-])c1,12000.0
190,CHEMBL53586,CCCN(CCC)c1c([N+](=O)[O-])cc(S(=O)(=O)NC(C)C)cc1[N+](=O)[O-],4100.0
191,CHEMBL298564,CCCN(CCC)c1c([N+](=O)[O-])cc(S(=O)(=O)Nc2cc(Cl)cc(Cl)c2)cc1[N+](=O)[O-],8000.0
192,CHEMBL54952,CCCN(CCC)c1c([N+](=O)[O-])cc(S(=O)(=O)Nc2ccc(OC)cc2)cc1[N+](=O)[O-],19000.0
193,CHEMBL116390,CC(=O)O[C@H](COP(=O)(OCc1ccccc1)OCc1ccccc1)[C@@H](OC(C)=O)C(=O)NOCc1ccccc1,60000.0
194,CHEMBL114894,CC1(C)O[C@H](COP(=O)(O)O)[C@H](C(N)=O)O1,212000.0
195,CHEMBL113716,O=C1OC[C@@H](O)[C@H]1O,0.0
196,CHEMBL113666,CC(=O)O[C@H](COP(=O)(OCc1ccccc1)OCc1ccccc1)[C@@H](OC(C)=O)C(=O)N(OCc1ccccc1)C(C)=O,49000.0
197,CHEMBL324609,CC1(C)O[C@H](COP(=O)(O)O)[C@H](C(=O)NO)O1,332000.0
198,CHEMBL114160,O=C(NO)[C@H](OC1CCCO1)[C@@H](CCO)OC1CCCO1,61000.0
199,CHEMBL113708,O=C1OC[C@@H](OC2CCCO2)[C@H]1OC1CCCO1,113000.0
200,CHEMBL114616,O=C(C[S+]([O-])C[C@H](O)COP(=O)(OCc1ccccc1)OCc1ccccc1)OCc1ccccc1,82000.0
201,CHEMBL117133,O=C(O)C[S+]([O-])C[C@H](O)COP(=O)(O)O,244000.0
202,CHEMBL117876,CC(=O)O[C@H](COP(=O)(OCc1ccccc1)OCc1ccccc1)CSCC(=O)OCc1ccccc1,137000.0
203,CHEMBL114269,CC(=O)O[C@H](COP(=O)(O)O)[C@@H](OC(C)=O)C(=O)NO,229000.0
204,CHEMBL116018,O=C(NO)[C@H](O)[C@H](O)COP(=O)(O)O,389000.0
205,CHEMBL114416,O=C(NOCc1ccccc1)[C@H](O)[C@H](O)COP(=O)(OCc1ccccc1)OCc1ccccc1,130000.0
206,CHEMBL325268,O=C(CSC[C@H](O)CO)OCc1ccccc1,75000.0
207,CHEMBL116897,O=C(C[S+]([O-])C[C@@H](COP(=O)(OCc1ccccc1)OCc1ccccc1)OC1CCCO1)OCc1ccccc1,73000.0
208,CHEMBL334040,CC1(C)O[C@@H]2COC(=O)[C@@H]2O1,262000.0
209,CHEMBL117442,O=C(NO)[C@H](O)[C@H](O)CO,116000.0
210,CHEMBL117535,CC1(C)O[C@H](CO)[C@H](C(=O)NOCc2ccccc2)O1,3500.0
211,CHEMBL117534,CC1(C)O[C@H](COP(=O)(OCc2ccccc2)OCc2ccccc2)[C@H](C(=O)NOCc2ccccc2)O1,126000.0
212,CHEMBL323922,NC(=O)[C@H](O)[C@H](O)COP(=O)(O)O,277000.0
213,CHEMBL113843,CC1(C)OC[C@H](CSCC(=O)OCc2ccccc2)O1,304000.0
214,CHEMBL420687,O=C(CSC[C@H](O)COP(=O)(OCc1ccccc1)OCc1ccccc1)OCc1ccccc1,47000.0
215,CHEMBL325269,CC(=O)O[C@H](COP(=O)(OCc1ccccc1)OCc1ccccc1)C[S+]([O-])CC(=O)OCc1ccccc1,36000.0
216,CHEMBL116916,CC(=O)O[C@H](COP(=O)(O)O)C[S+]([O-])CC(=O)O,113000.0
